    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv       t
      LD       0       0       0       0       0      36       0       0       3       7       1
      LD       0       0       0       1       1      26       0       0       2       7       1
      LD       0       0       0       2       2      35       0       0       3       6       1
      LD       0       0       0       3       3      25       0       0       2       6       1
      LD       0       0       0       4       4       8       0       1       0       7       1
      LD       0       0       0       5       5      17       0       1       1       7       1
      LD       0       0       0       6       6      16       0       1       1       6       1
      LD       0       0       0       7       7       7       0       1       0       6       1
      LD       0       0       0       8       8      -1      -1      -1      -1      -1      -1
      LD       0       0       0       9       9       6       0       2       0       5       1
      LD       0       0       0      10      10      15       0       2       1       5       1
      LD       0       0       0      11      11       5       0       2       0       4       1
      LD       0       0       0      12      12      13       0       2       1       4       1
      LD       0       0       0      13      13      34       0       3       3       5       1
      LD       0       0       0      14      14      33       0       3       3       4       1
      LD       0       0       0      15      15      23       0       3       2       4       1
      LD       0       0       0      16      16      24       0       3       2       5       1
      LD       0       0       0      17      17      -1      -1      -1      -1      -1      -1
      LD       0       0       0      18  CALIB0      14      -1      -1       1       4       0
      LD       0       0       0      19      18      -1      -1      -1      -1      -1      -1
      LD       0       0       0      20      19       4       1       0       0       3       1
      LD       0       0       0      21      20      12       1       0       1       3       1
      LD       0       0       0      22      21       3       1       0       0       2       1
      LD       0       0       0      23      22      11       1       0       1       2       1
      LD       0       0       0      24      23       2       1       1       0       1       1
      LD       0       0       0      25      24       1       1       1       0       0       1
      LD       0       0       0      26      25      10       1       1       1       1       1
      LD       0       0       0      27      26       9       1       1       1       0       1
      LD       0       0       0      28      27      -1      -1      -1      -1      -1      -1
      LD       0       0       0      29      28      21       1       2       2       2       1
      LD       0       0       0      30      29      31       1       2       3       2       1
      LD       0       0       0      31      30      22       1       2       2       3       1
      LD       0       0       0      32      31      32       1       2       3       3       1
      LD       0       0       0      33      32      19       1       3       2       0       1
      LD       0       0       0      34      33      29       1       3       3       0       1
      LD       0       0       0      35      34      20       1       3       2       1       1
      LD       0       0       0      36      35      30       1       3       3       1       1
      LD       0       0       1       0      36      46       2       0       4       6       1
      LD       0       0       1       1      37      58       2       0       5       6       1
      LD       0       0       1       2      38      47       2       0       4       7       1
      LD       0       0       1       3      39      59       2       0       5       7       1
      LD       0       0       1       4      40      44       2       1       4       4       1
