# globalchannelId, padId
0,36
1,26
2,35
3,25
4,8
5,17
6,16
7,7
9,6
10,15
11,5
12,13
13,34
14,33
15,23
16,24
18,14
20,4
21,12
22,3
23,11
24,2
25,1
26,10
27,9
29,21
30,31
31,22
32,32
33,19
34,29
35,20
36,30
39,46
40,58
41,47
42,59
43,44
44,57
45,56
46,45
48,74
49,88
50,87
51,73
52,71
53,86
54,72
55,85
57,70
59,69
60,84
61,68
62,83
63,43
64,42
65,55
66,54
68,67
69,82
70,66
71,81
72,52
73,41
74,53
75,40
78,165
79,177
80,151
81,166
82,178
83,188
84,198
85,189
87,179
88,167
89,168
90,153
91,137
92,123
93,138
94,152
96,154
98,155
99,139
100,140
101,125
102,126
103,111
104,110
105,95
107,109
108,93
109,124
110,108
111,94
112,79
113,80
114,65
117,121
118,135
119,136
120,150
121,107
122,106
123,91
124,122
126,120
127,104
128,89
129,105
130,76
131,75
132,90
133,60
135,62
137,61
138,48
139,49
140,37
141,92
142,78
143,77
144,63
146,38
147,27
148,28
149,18
150,39
151,64
152,50
153,51
156,99
157,98
158,115
159,114
160,96
161,97
162,113
163,112
165,127
166,128
167,141
168,142
169,130
170,145
171,144
172,129
174,143
176,157
177,156
178,169
179,170
180,180
181,190
182,181
183,191
185,171
186,172
187,158
188,159
189,192
190,193
191,182
192,183
195,100
196,101
197,116
198,117
199,146
200,132
201,147
202,131
204,102
205,103
206,119
207,118
208,148
209,134
210,133
211,149
213,163
215,162
216,164
217,175
218,176
219,160
220,173
221,161
222,174
224,186
225,187
226,196
227,197
228,195
229,184
230,185
231,194
