globalId, sicell
0,76
1,60
2,78
3,77
4,46
5,62
6,47
7,45
8,61
9,18
10,31
11,32
12,6
13,16
14,29
15,17
16,5
17,4
18,30
19,3
20,2
21,1
22,15
23,14
24,27
25,13
26,28
27,26
28,73
29,59
30,44
31,43
32,75
33,58
34,74
35,42
36,57
39,95
40,114
41,96
42,94
43,113
44,112
45,132
46,131
47,133
48,175
49,154
50,153
51,176
52,152
53,198
54,197
55,174
56,196
57,151
58,194
59,171
60,195
61,193
62,173
63,172
64,150
65,149
66,148
67,109
68,130
69,111
70,110
71,92
72,93
73,91
74,129
75,128
78,117
79,136
80,99
81,98
82,116
83,97
84,134
85,135
86,115
87,177
88,156
89,155
90,199
91,157
92,178
93,200
94,179
95,201
96,158
97,202
98,159
99,203
100,180
101,204
102,182
103,181
104,160
105,161
106,119
107,139
108,137
109,138
110,100
111,101
112,118
113,120
114,102
117,63
118,48
119,50
120,79
121,80
122,81
123,49
124,65
125,64
126,19
127,33
128,34
129,7
130,8
131,20
132,35
133,21
134,9
135,37
136,36
137,11
138,22
139,10
140,23
141,24
142,38
143,39
144,12
145,51
146,82
147,66
148,52
149,53
150,83
151,68
152,67
153,84
156,391
157,390
158,354
159,372
160,353
161,370
162,352
163,389
164,371
165,350
166,369
167,351
168,349
169,386
170,387
171,368
172,367
173,385
174,388
175,402
176,432
177,418
178,403
179,419
180,420
181,433
182,404
183,434
184,437
185,406
186,405
187,421
188,407
189,422
190,423
191,435
192,436
195,373
196,356
197,355
198,392
199,374
200,393
201,375
202,394
203,357
204,377
205,358
206,376
207,359
208,395
209,360
210,378
211,396
212,397
213,412
214,429
215,442
216,414
217,443
218,413
219,428
220,411
221,427
222,441
223,439
224,409
225,410
226,425
227,424
228,408
229,438
230,426
231,440
234,295
235,296
236,294
237,316
238,317
239,336
240,338
241,318
242,337
243,341
244,319
245,339
246,340
247,297
248,320
249,321
250,299
251,300
252,298
253,277
254,275
255,252
256,276
257,228
258,227
259,251
260,250
261,226
262,248
263,225
264,274
265,249
266,272
267,247
268,273
269,224
270,223
273,334
274,333
275,291
276,335
277,315
278,293
279,313
280,292
281,314
282,331
283,332
284,312
285,330
286,310
287,311
288,290
289,289
290,288
291,268
292,267
293,241
294,266
295,265
296,242
297,217
298,219
299,218
300,243
301,269
302,271
303,270
304,244
305,220
306,246
307,221
308,245
309,222
312,189
313,213
314,235
315,212
316,260
317,237
318,284
319,259
320,236
321,328
322,285
323,307
324,348
325,286
326,261
327,308
328,329
329,309
330,262
331,287
332,240
333,264
334,263
335,239
336,215
337,216
338,238
339,192
340,169
341,190
342,214
343,191
344,168
345,147
346,146
347,170
348,127
351,188
352,187
353,211
354,167
355,166
356,144
357,143
358,124
359,165
360,104
361,142
362,123
363,122
364,105
365,103
366,85
367,86
368,69
369,88
370,54
371,41
372,25
373,40
374,70
375,55
376,87
377,71
378,56
379,145
380,106
381,125
382,107
383,126
384,90
385,108
386,89
387,72
390,256
391,232
392,281
393,257
394,233
395,209
396,186
397,234
398,210
399,141
400,185
401,164
402,121
403,207
404,163
405,140
406,184
407,162
408,208
409,183
410,231
411,205
412,206
413,229
414,253
415,230
416,254
417,278
418,323
419,301
420,255
421,279
422,302
423,303
424,280
425,322
426,342
429,283
430,306
431,345
432,258
433,282
434,304
435,326
436,325
437,305
438,347
439,327
440,346
441,366
442,384
443,365
444,364
445,383
446,401
447,382
448,381
449,431
450,417
451,400
452,416
453,430
454,399
455,415
456,444
457,363
458,324
459,344
460,380
461,398
462,343
463,379
464,362
465,361
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
154,-1
155,-1
193,-1
194,-1
232,-1
233,-1
271,-1
272,-1
310,-1
311,-1
349,-1
350,-1
388,-1
389,-1
427,-1
428,-1
466,-1
467,-1
