globalId, sicell
0,263
1,260
2,262
3,261
4,285
5,284
6,283
7,282
8,259
9,229
10,258
11,230
12,256
13,280
14,257
15,279
16,231
17,281
18,306
19,327
20,325
21,305
22,303
23,350
24,348
25,326
26,304
27,349
28,369
29,368
30,367
31,388
32,407
33,405
34,406
35,389
36,390
39,392
40,427
41,443
42,371
43,391
44,408
45,370
46,409
47,372
48,328
49,330
50,353
51,352
52,351
53,329
54,307
55,309
56,308
57,426
58,457
59,440
60,441
61,456
62,423
63,424
64,458
65,425
66,442
67,310
68,286
69,331
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
78,234
79,208
80,233
81,232
82,209
83,186
84,185
85,210
86,184
87,237
88,211
89,235
90,236
91,187
92,188
93,143
94,212
95,166
96,31
97,140
98,141
99,163
100,164
101,142
102,165
103,122
104,120
105,121
106,100
107,83
108,101
109,65
110,99
111,49
112,32
113,64
114,82
117,183
118,205
119,207
120,206
121,160
122,162
123,182
124,161
125,181
126,118
127,138
128,137
129,136
130,96
131,117
132,97
133,119
134,98
135,139
136,46
137,61
138,47
139,62
140,80
141,48
142,79
143,81
144,63
145,2
146,28
147,15
148,16
149,29
150,1
151,30
152,3
153,17
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
154,-1
155,-1
