globalId, sicell
0,179
1,202
2,180
3,228
4,178
5,203
6,204
7,226
8,227
9,135
10,113
11,133
12,115
13,159
14,116
15,158
16,134
17,157
18,114
19,58
20,95
21,60
22,94
23,76
24,78
25,93
26,59
27,77
28,25
29,12
30,43
31,14
32,13
33,45
34,27
35,44
36,26
39,225
40,200
41,250
42,224
43,201
44,199
45,249
46,223
47,251
48,248
49,246
50,198
51,197
52,222
53,153
54,247
55,174
56,220
57,221
58,177
59,154
60,132
61,131
62,156
63,130
64,176
65,175
66,155
67,92
68,111
69,42
70,110
71,112
72,57
73,91
74,74
75,75
78,295
79,341
80,318
81,-1
82,-1
83,-1
84,-1
85,-1
86,-1
87,297
88,299
89,275
90,274
91,272
92,298
93,271
94,273
95,296
96,385
97,319
98,362
99,342
100,361
101,343
102,363
103,320
104,344
105,321
106,383
107,382
108,400
109,381
110,401
111,436
112,419
113,418
114,452
117,276
118,302
119,277
120,278
121,252
122,300
123,254
124,301
125,255
126,322
127,345
128,365
129,323
130,364
131,324
132,346
133,347
134,366
135,253
136,404
137,420
138,387
139,386
140,422
141,402
142,403
143,384
144,421
145,453
146,439
147,438
148,437
149,466
150,455
151,454
152,468
153,467
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
154,-1
155,-1
