globalId, sicell
0,6
1,18
2,20
3,5
4,19
5,34
6,7
7,32
8,35
9,50
10,82
11,51
12,84
13,49
14,65
15,64
16,83
17,67
18,31
19,17
20,15
21,3
22,29
23,30
24,16
25,2
26,1
27,28
28,80
29,81
30,63
31,62
32,61
33,46
34,48
35,47
36,79
39,104
40,145
41,125
42,147
43,103
44,143
45,124
46,123
47,105
48,121
49,99
50,100
51,101
52,142
53,122
54,141
55,140
56,120
57,139
58,168
59,163
60,167
61,166
62,164
63,160
64,165
65,161
66,162
67,96
68,137
69,136
70,138
71,98
72,117
73,119
74,118
75,97
78,91
79,130
80,111
81,129
82,109
83,93
84,112
85,92
86,131
87,133
88,132
89,134
90,94
91,113
92,95
93,115
94,78
95,116
96,39
97,57
98,72
99,89
100,73
101,88
102,56
103,90
104,55
105,71
106,45
107,75
108,76
109,58
110,44
111,60
112,77
113,59
114,27
117,128
118,149
119,127
120,150
121,108
122,148
123,106
124,126
125,107
126,69
127,87
128,86
129,85
130,54
131,68
132,53
133,52
134,70
135,146
136,21
137,37
138,9
139,22
140,36
141,38
142,8
143,10
144,23
145,13
146,41
147,43
148,25
149,40
150,11
151,14
152,24
153,26
156,170
157,151
158,171
159,172
160,169
161,173
162,152
163,154
164,174
165,175
166,176
167,155
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,114
175,179
176,135
177,180
178,156
179,159
180,157
181,158
182,178
183,177
184,-1
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,-1
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
154,-1
155,-1
193,-1
194,-1
