globalId, sicell
0,75
1,76
2,89
3,91
4,93
5,78
6,77
7,92
8,-1
9,48
10,60
11,47
12,59
13,61
14,63
15,49
16,50
17,-1
18,90
19,-1
20,18
21,17
22,8
23,7
24,27
25,26
26,38
27,37
28,-1
29,34
30,35
31,24
32,25
33,16
34,14
35,6
36,5
39,74
40,87
41,88
42,73
43,85
44,71
45,86
46,72
47,-1
48,57
49,58
50,46
51,45
52,43
53,56
54,55
55,44
56,-1
57,13
58,-1
59,1
60,2
61,9
62,10
63,11
64,4
65,3
66,12
67,-1
68,31
69,21
70,20
71,30
72,32
73,33
74,22
75,23
78,129
79,128
80,112
81,111
82,201
83,177
84,189
85,176
86,190
87,145
88,162
89,161
90,144
91,146
92,114
93,130
94,113
95,131
96,65
97,-1
98,95
99,79
100,64
101,96
102,19
103,39
104,40
105,28
106,163
107,67
108,52
109,66
110,51
111,80
112,98
113,97
114,81
117,-1
118,-1
119,-1
120,-1
121,-1
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
156,121
157,105
158,122
159,106
160,103
161,104
162,120
163,119
164,-1
165,137
166,151
167,136
168,152
169,138
170,139
171,153
172,154
173,-1
174,169
175,-1
176,180
177,168
178,167
179,181
180,193
181,203
182,204
183,194
184,-1
185,195
186,206
187,205
188,196
189,182
190,170
191,171
192,183
195,124
196,108
197,123
198,107
199,125
200,126
201,109
202,110
203,-1
204,159
205,143
206,142
207,157
208,156
209,140
210,141
211,155
212,212
213,160
214,-1
215,175
216,188
217,174
218,187
219,173
220,172
221,185
222,184
223,-1
224,199
225,211
226,200
227,210
228,209
229,197
230,198
231,207
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
154,-1
155,-1
193,-1
194,-1
232,-1
233,-1
