globalId, sicell
0,103
1,120
2,104
3,119
4,105
5,122
6,121
7,106
8,-1
9,139
10,138
11,153
12,154
13,136
14,151
15,137
16,152
17,-1
18,169
19,-1
20,168
21,180
22,167
23,181
24,170
25,183
26,171
27,182
28,-1
29,205
30,206
31,195
32,196
33,203
34,204
35,193
36,194
39,140
40,141
41,155
42,156
43,108
44,124
45,123
46,107
47,-1
48,109
49,110
50,125
51,126
52,157
53,142
54,143
55,159
56,-1
57,160
58,-1
59,188
60,187
61,175
62,174
63,211
64,210
65,200
66,199
67,-1
68,184
69,172
70,185
71,173
72,198
73,197
74,209
75,207
78,145
79,161
80,129
81,144
82,176
83,162
84,189
85,177
86,128
87,201
88,190
89,212
90,202
91,192
92,179
93,178
94,165
95,111
96,149
97,112
98,166
99,150
100,133
101,148
102,135
103,134
104,117
105,116
106,118
107,163
108,131
109,146
110,147
111,113
112,114
113,115
114,130
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
