globalId, sicell
0,85
1,71
2,72
3,86
4,103
5,104
6,119
7,120
8,-1
9,73
10,74
11,87
12,88
13,105
14,121
15,122
16,106
17,-1
18,90
19,157
20,75
21,91
22,89
23,76
24,107
25,123
26,124
27,108
28,126
29,77
30,61
31,93
32,92
33,109
34,110
35,142
36,125
39,57
40,45
41,46
42,58
43,43
44,56
45,55
46,44
47,-1
48,31
49,30
50,20
51,21
52,9
53,10
54,1
55,2
56,-1
57,13
58,-1
59,32
60,33
61,22
62,23
63,11
64,3
65,4
66,12
67,-1
68,24
69,14
70,34
71,35
72,47
73,59
74,48
75,60
78,138
79,153
80,154
81,139
82,137
83,151
84,136
85,152
86,-1
87,168
88,167
89,180
90,181
91,193
92,194
93,203
94,204
95,-1
96,169
97,185
98,171
99,170
100,182
101,183
102,205
103,195
104,196
105,206
106,207
107,140
108,141
109,156
110,155
111,197
112,172
113,184
114,173
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
