globalId, sicell
0,145
1,159
2,144
3,161
4,198
5,187
6,175
7,174
8,-1
9,199
10,209
11,210
12,200
13,201
14,212
15,211
16,202
17,-1
18,160
19,186
20,176
21,188
22,189
23,177
24,190
25,192
26,178
27,179
28,208
29,165
30,148
31,150
32,166
33,163
34,147
35,162
36,146
39,143
40,112
41,128
42,111
43,94
44,62
45,95
46,78
47,-1
48,129
49,114
50,113
51,130
52,96
53,79
54,80
55,97
56,-1
57,149
58,-1
59,98
60,81
61,100
62,82
63,131
64,133
65,116
66,115
67,-1
68,83
69,84
70,101
71,102
72,117
73,134
74,135
75,118
78,25
79,37
80,15
81,36
82,5
83,17
84,6
85,16
86,-1
87,38
88,26
89,27
90,39
91,50
92,49
93,64
94,63
95,-1
96,65
97,127
98,51
99,66
100,52
101,67
102,70
103,69
104,54
105,53
106,158
107,28
108,40
109,29
110,42
111,8
112,19
113,7
114,18
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
