globalId, sicell
0,89
1,76
2,75
3,91
4,77
5,78
6,92
7,93
8,-1
9,59
10,47
11,60
12,48
13,63
14,61
15,49
16,50
17,-1
18,13
19,-1
20,35
21,25
22,34
23,24
24,37
25,26
26,38
27,27
28,-1
29,7
30,8
31,17
32,18
33,16
34,14
35,6
36,5
39,46
40,45
41,58
42,57
43,74
44,87
45,73
46,88
47,-1
48,71
49,72
50,86
51,85
52,43
53,55
54,56
55,44
56,-1
57,90
58,-1
59,31
60,21
61,30
62,20
63,9
64,2
65,1
66,10
67,-1
68,4
69,12
70,3
71,11
72,33
73,23
74,32
75,22
78,64
79,80
80,79
81,96
82,98
83,81
84,67
85,82
86,-1
87,70
88,101
89,84
90,83
91,39
92,66
93,52
94,51
95,-1
96,65
97,-1
98,53
99,54
100,42
101,69
102,28
103,40
104,19
105,29
106,-1
107,102
108,100
109,95
110,97
111,-1
112,-1
113,-1
114,-1
37,-1
38,-1
76,-1
77,-1
115,-1
116,-1
