PAD,ASIC,Channel,Channeltype
1,0,24,0
2,0,23,0
3,0,21,0
4,0,19,0
5,0,11,0
6,0,9,0
7,0,7,0
8,0,4,0
9,0,26,0
10,0,25,0
11,0,22,0
12,0,20,0
13,0,12,0
14,0,0,1
15,0,10,0
16,0,6,0
17,0,5,0
19,0,32,0
20,0,34,0
21,0,28,0
22,0,30,0
23,0,15,0
24,0,16,0
25,0,3,0
26,0,1,0
29,0,33,0
30,0,35,0
31,0,29,0
32,0,31,0
33,0,14,0
34,0,13,0
35,0,2,0
36,0,0,0
40,0,71,0
41,0,69,0
42,0,60,0
43,0,59,0
44,0,40,0
45,0,43,0
46,0,36,0
47,0,38,0
52,0,68,0
53,0,70,0
54,0,62,0
55,0,61,0
56,0,42,0
57,0,41,0
58,0,37,0
59,0,39,0
66,0,66,0
67,0,64,0
68,0,57,0
69,0,55,0
70,0,1,1
71,0,49,0
72,0,51,0
73,0,48,0
74,0,45,0
81,0,67,0
82,0,65,0
83,0,58,0
84,0,56,0
85,0,52,0
86,0,50,0
87,0,47,0
88,0,46,0
18,1,67,0
27,1,65,0
28,1,66,0
37,1,58,0
38,1,64,0
39,1,68,0
48,1,56,0
49,1,57,0
50,1,70,0
51,1,71,0
60,1,52,0
61,1,55,0
62,1,1,1
63,1,62,0
64,1,69,0
65,1,35,0
75,1,50,0
76,1,49,0
77,1,61,0
78,1,60,0
79,1,33,0
80,1,34,0
89,1,47,0
90,1,51,0
91,1,42,0
92,1,59,0
93,1,29,0
94,1,32,0
95,1,26,0
104,1,46,0
105,1,48,0
106,1,41,0
107,1,40,0
108,1,31,0
109,1,28,0
110,1,25,0
111,1,24,0
120,1,45,0
121,1,36,0
122,1,43,0
123,1,14,0
124,1,30,0
125,1,22,0
126,1,23,0
135,1,37,0
136,1,38,0
137,1,13,0
138,1,15,0
139,1,20,0
140,1,21,0
150,1,39,0
151,1,2,0
152,1,16,0
153,1,12,0
154,1,0,1
155,1,19,0
165,1,0,0
166,1,3,0
167,1,10,0
168,1,11,0
177,1,1,0
178,1,4,0
179,1,9,0
188,1,5,0
189,1,7,0
198,1,6,0
96,2,4,0
97,2,5,0
98,2,1,0
99,2,0,0
100,2,36,0
101,2,37,0
102,2,45,0
103,2,46,0
112,2,7,0
113,2,6,0
114,2,3,0
115,2,2,0
116,2,38,0
117,2,39,0
118,2,48,0
119,2,47,0
127,2,9,0
128,2,10,0
129,2,16,0
130,2,13,0
131,2,43,0
132,2,41,0
133,2,51,0
134,2,50,0
141,2,11,0
142,2,12,0
143,2,0,1
144,2,15,0
145,2,14,0
146,2,40,0
147,2,42,0
148,2,49,0
149,2,52,0
156,2,20,0
157,2,19,0
158,2,30,0
159,2,31,0
160,2,59,0
161,2,61,0
162,2,55,0
163,2,1,1
164,2,56,0
169,2,21,0
170,2,22,0
171,2,28,0
172,2,29,0
173,2,60,0
174,2,62,0
175,2,57,0
176,2,58,0
180,2,23,0
181,2,25,0
182,2,34,0
183,2,35,0
184,2,69,0
185,2,70,0
186,2,64,0
187,2,65,0
190,2,24,0
191,2,26,0
192,2,32,0
193,2,33,0
194,2,71,0
195,2,68,0
196,2,66,0
197,2,67,0
-1,0,0,100
-2,0,1,100
-3,0,8,0
-4,0,17,0
-5,0,18,0
-6,0,27,0
-7,1,2,100
-8,1,3,100
-9,1,44,0
-10,1,53,0
-11,1,54,0
-12,1,63,0
-13,1,0,100
-14,1,1,100
-15,1,8,0
-16,1,17,0
-17,1,18,0
-18,1,27,0
-19,2,2,100
-20,2,3,100
-21,2,44,0
-22,2,53,0
-23,2,54,0
-24,2,63,0
-25,2,0,100
-26,2,1,100
-27,2,8,0
-28,2,17,0
-29,2,18,0
-30,2,27,0
-31,0,2,100
-32,0,3,100
-33,0,44,0
-34,0,53,0
-35,0,54,0
-36,0,63,0
